Household_Size,Seasonal_Index,Garden_Area,Income_Level,Building_Type,Avg_Temperature_C,Num_Appliances,Daily_Liters_Used
3.0,0.82,205.1,Medium,Apartment,16.6,9.0,734.05
6.0,1.05,0.0,High,Row_House,26.7,3.0,1144.01
4.0,1.27,82.6,High,Villa,33.1,3.0,1294.0
4.0,1.18,0.0,Low,Apartment,31.7,2.0,626.69
2.0,1.22,175.8,Low,Villa,29.4,7.0,823.77
,1.13,,Low,Apartment,28.3,6.0,855.41
1.0,1.15,272.8,Medium,Row_House,26.1,5.0,809.8
5.0,,13.5,Medium,Villa,33.3,6.0,1205.11
4.0,0.86,0.0,Medium,Apartment,21.0,2.0,503.64
4.0,1.02,25.0,Low,Apartment,25.8,2.0,545.67
1.0,0.84,0.0,Low,Apartment,19.3,8.0,174.14
6.0,1.34,0.0,Medium,Row_House,35.5,2.0,1242.4
5.0,1.31,99.0,Medium,Row_House,37.0,7.0,1271.86
2.0,0.73,0.0,Low,Row_House,15.4,2.0,205.07
2.0,,,Medium,Apartment,29.4,3.0,831.06
2.0,1.3,106.9,Low,Apartment,31.3,,617.09
3.0,0.82,222.5,High,Apartment,17.0,4.0,729.46
3.0,1.07,127.3,High,Apartment,26.6,5.0,802.34
3.0,1.3,0.0,Low,Row_House,35.7,2.0,590.86
2.0,0.72,237.3,Low,Villa,15.1,6.0,573.45
4.0,1.15,92.9,Medium,Row_House,28.4,8.0,965.45
2.0,0.89,135.5,Low,Apartment,20.0,2.0,420.48
2.0,1.3,208.8,Medium,Villa,32.4,7.0,1041.81
3.0,1.33,0.0,High,Row_House,35.0,2.0,733.32
3.0,1.31,26.4,Medium,Villa,30.8,2.0,793.18
4.0,1.01,118.4,High,Row_House,27.1,9.0,1058.71
2.0,1.26,283.9,Medium,Apartment,30.9,9.0,1062.86
3.0,1.25,196.1,Low,Apartment,33.4,2.0,891.62
4.0,0.91,204.7,Medium,Row_House,18.9,8.0,988.13
1.0,1.24,193.4,Medium,Apartment,33.0,9.0,710.14
4.0,0.72,0.0,Medium,Apartment,17.0,2.0,432.92
2.0,1.09,131.3,Low,Row_House,27.8,5.0,606.48
1.0,0.85,227.8,Low,Row_House,17.6,6.0,505.54
6.0,0.78,39.4,High,Row_House,18.0,9.0,965.29
6.0,0.75,90.6,Low,Apartment,14.2,9.0,664.15
,1.15,90.1,High,Apartment,28.3,7.0,1193.48
3.0,0.92,0.0,High,Row_House,23.8,2.0,515.6
1.0,1.17,0.0,High,Villa,31.1,2.0,266.85
4.0,0.74,0.0,Medium,Row_House,16.3,,459.87
3.0,0.9,160.4,Medium,Villa,19.2,2.0,732.87
2.0,1.05,62.0,High,Row_House,27.1,9.0,592.22
3.0,1.21,291.5,Low,Row_House,30.7,3.0,1124.93
1.0,0.91,42.9,Medium,Apartment,16.8,3.0,267.07
,1.11,0.0,Medium,Row_House,29.2,4.0,912.75
2.0,1.28,224.0,Medium,Row_House,32.8,2.0,994.52
4.0,1.1,214.3,Medium,Row_House,29.7,4.0,1136.6
3.0,0.85,0.0,Medium,Row_House,17.4,5.0,366.27
3.0,0.72,110.5,Medium,Row_House,9.3,4.0,527.05
